Australian Bureau of Statistics

"2016 Census - Selected Family Characteristics"
"SSC by SSCF Same-Sex Couple Indicator"
"Counting: Families Location on Census Night"

Filters:
"Default Summation","Families Location on Census Night"

"SSCF Same-Sex Couple Indicator","Male same-sex couple","Female same-sex couple","Opposite-sex couple","Not applicable","Total",
"Bundeena",6,7,452,315,781,
"Bundella",0,0,23,12,30,
"Bundemar",0,0,12,4,16,
"Bundewallah",0,0,12,10,19,
"Bundook",0,0,18,20,39,
"Bundure",0,0,0,0,5,
"Bungaba",0,0,18,25,43,
"Bungabbee",0,0,0,0,0,
"Bungalora",0,0,18,6,26,
"Bungarby",0,0,14,13,23,
"Bungarribee",0,0,677,157,836,
"Bungawalbin",0,0,21,31,59,
"Bungendore",11,7,1023,475,1515,
"Bungonia",0,0,89,77,171,
"Bungowannah",0,0,45,18,63,
"Bungwahl",0,0,54,59,109,
"Bunnaloo",0,0,25,9,40,
"Bunnan",0,0,27,19,49,
"Bunyah",0,0,39,23,65,
"Bunyan",0,0,42,30,67,
"Burcher",0,0,14,20,36,
"Bureen",0,0,16,6,24,
"Burnt Bridge",0,0,14,34,48,
"Burnt Yards",0,0,4,3,13,
"Buronga",0,0,244,324,579,
"Burra (Queanbeyan-Palerang Regional - NSW)",0,0,204,93,297,
"Burra (Snowy Valleys - NSW)",0,0,8,9,20,
"Burra Creek",0,0,18,12,33,
"Burraboi",0,0,13,15,27,
"Burradoo",12,0,673,362,1053,
"Burraga",0,0,19,14,39,
"Burragate",0,0,23,35,54,
"Burrandana",0,0,3,3,8,
"Burraneer",0,0,897,351,1253,
"Burrangong",0,0,51,38,96,
"Burrapine",0,0,5,25,30,
"Burrawang",5,0,95,65,157,
"Burrell Creek",0,0,57,43,101,
"Burren Junction",0,0,53,97,153,
"Burrier",0,0,11,8,23,
"Burrill Lake",0,0,333,340,675,
"Burringbar",0,0,175,181,358,
"Burrinjuck",0,0,8,3,10,
"Burroway",0,0,32,16,51,
"Burrumbuttock",0,0,83,60,149,
"Burrundulla",0,0,39,18,55,
"Burwood (NSW)",12,18,2790,3827,6649,
"Burwood Heights",4,0,192,149,350,
"Busby",0,0,660,820,1471,
"Busbys Flat",0,0,8,12,17,
"Bushells Ridge",0,0,0,4,7,
"Buttaba",0,0,275,142,418,
"Buttai",0,0,13,0,16,
"Butterwick",0,0,43,12,57,
"Buxton (NSW)",3,4,450,260,720,
"Byabarra",0,0,82,35,119,
"Byadbo Wilderness",0,0,0,0,0,
"Byangum",0,0,29,26,59,
"Bylong",0,0,5,5,13,
"Byng",0,0,19,0,19,
"Byrock",0,0,10,20,26,
"Byron Bay",4,5,779,2010,2801,
"Byrrill Creek",0,0,28,31,55,
"Bywong",0,0,349,163,514,
"Cabarita (NSW)",0,0,534,236,775,
"Cabarita Beach",0,0,14,36,45,
"Cabbage Tree Island (Ballina - NSW)",0,0,8,20,22,
"Cabbage Tree Island (Mid-Coast - NSW)",0,0,0,7,3,
"Cabramatta",6,9,3697,4376,8087,
"Cabramatta West",0,0,1264,1209,2479,
"Cabramurra",0,0,0,3,4,
"Caddens",0,4,277,127,409,
"Cadgee (NSW)",0,0,16,4,20,
"Cadia",0,0,0,0,0,
"Caffreys Flat",0,0,12,17,29,
"Cairncross",0,0,0,0,0,
"Calala",0,4,867,610,1480,
"Calamia",0,0,0,6,6,
"Calderwood",0,0,45,19,64,
"Caldwell",0,0,12,11,17,
"Calga",0,0,32,24,60,
"Califat",0,0,6,0,0,
"Calimo",0,0,15,12,31,
"Callaghan",0,0,0,12,12,
"Callaghans Creek",0,0,0,3,4,
"Callala Bay",0,0,537,384,927,
"Callala Beach",0,0,166,186,362,
"Calliope (NSW)",0,0,21,25,42,
"Caloola",0,0,21,22,37,
"Cambalong",0,0,0,0,0,
"Camberwell (NSW)",0,0,16,20,35,
"Cambewarra",0,0,57,39,95,
"Cambewarra Village",0,4,296,117,413,
"Camboon (NSW)",0,0,7,8,18,
"Cambra",0,0,10,3,17,
"Cambridge Gardens",0,0,471,283,755,
"Cambridge Park",7,6,1351,1326,2687,
"Cambridge Plateau",0,0,0,0,0,
"Camden",4,0,624,736,1364,
"Camden Head",0,0,40,32,71,
"Camden Park (NSW)",0,0,562,132,697,
"Camden South",3,4,1135,592,1735,
"Camellia",0,0,0,0,0,
"Cameron Park",3,12,1892,730,2642,
"Camerons Creek",0,0,9,8,23,
"Camira (NSW)",0,0,3,9,15,
"Cammeray",5,14,1591,1670,3281,
"Camp Creek (NSW)",0,0,3,4,7,
"Campbelltown (NSW)",13,8,2347,3045,5413,
"Camperdown (NSW)",119,60,1501,3506,5188,
"Campsie",18,28,5126,4668,9841,
"Campvale",0,0,9,5,15,
"Cams Wharf",0,0,33,19,56,
"Canada Bay",5,0,278,225,502,
"Canadian Lead",0,0,0,6,3,
"Canbelego",0,0,12,8,20,
"Candelo",0,0,158,154,314,
"Cangai",0,0,10,7,15,
"Caniaba",0,0,161,87,247,
"Canley Heights",0,0,1990,1778,3773,
"Canley Vale",3,0,1805,1899,3712,
"Canobolas",0,0,132,56,189,
"Canoelands",0,0,44,24,64,
"Canonba",0,0,6,9,13,
"Canowindra",0,3,465,543,1011,
"Canterbury (NSW)",27,26,1526,1490,3071,
"Canton Beach",0,0,193,459,650,
"Canyonleigh",0,0,97,65,165,
"Caparra",0,0,18,13,30,
"Capeen Creek",0,0,3,0,5,
"Capertee",0,0,25,46,72,
"Capoompeta",0,0,0,0,0,
"Captains Flat",0,0,131,140,272,
"Carabost",0,0,10,8,21,
"Caragabal",0,0,43,26,70,
"Carcalgong",0,0,6,12,22,
"Carcoar",0,0,68,58,125,
"Cardiff (NSW)",6,11,1191,1272,2481,
"Cardiff Heights",4,0,311,251,567,
"Cardiff South",0,3,630,534,1169,
"Carey Bay",7,4,180,196,387,
"Cargo",0,0,138,90,228,
"Carinda",0,0,35,42,83,
"Caringbah",10,12,2382,2829,5229,
"Caringbah South",9,4,2978,1502,4486,
"Carlaminda",0,0,5,0,10,
"Carlingford",16,5,5932,3112,9067,
"Carlton (NSW)",16,9,2395,1869,4298,
"Carnes Hill",0,0,497,153,647,
"Carnham",0,0,0,7,3,
"Carool",0,0,37,40,72,
"Caroona",0,0,32,44,77,
"Carrabolla",0,0,0,0,0,
"Carrai",0,0,0,0,0,
"Carramar (NSW)",0,0,565,858,1427,
"Carrathool",0,0,49,57,105,
"Carrick (NSW)",0,0,28,28,58,
"Carrington (Mid-Coast - NSW)",0,0,5,13,21,
"Carrington (Newcastle - NSW)",5,0,352,570,928,
"Carrington Falls",0,0,8,3,8,
"Carroll",0,0,71,60,125,
"Carrowbrook",0,0,8,12,14,
"Carrs Creek",0,0,34,22,53,
"Carrs Island",0,0,3,4,10,
"Carrs Peninsula",0,0,7,3,13,
"Carss Park",0,0,306,183,490,
"Cartwright",0,0,359,654,1013,
"Cartwrights Hill",0,0,52,27,74,
"Carwell",0,0,10,3,11,
"Carwoola",3,0,379,159,539,
"Cascade (NSW)",0,0,3,4,3,
"Casino",0,8,2006,2752,4768,
"Cassilis (NSW)",0,0,75,64,140,
"Castle Cove",0,0,652,291,947,
"Castle Doyle",0,0,48,16,61,
"Castle Hill (NSW)",15,19,9624,4606,14267,
"Castle Rock",0,0,35,31,69,
"Castlecrag",4,0,731,303,1037,
"Castlereagh",0,0,265,146,410,
"Casuarina (NSW)",0,0,631,356,994,
"Casula",9,9,3260,2161,5437,
"Catalina",0,0,478,544,1020,
"Cataract",0,0,0,0,4,
"Cathcart (NSW)",0,0,25,21,48,
"Catherine Field",0,0,346,187,530,
"Catherine Hill Bay",0,0,31,33,70,
"Cathundral",0,0,10,3,17,
"Cattai",0,0,179,97,276,
"Cattle Creek (NSW)",0,0,6,6,13,
"Cavan (NSW)",0,0,12,7,22,
"Caves Beach",0,6,1001,589,1598,
"Cawdor (NSW)",0,0,107,53,165,
"Cawongla",0,0,37,57,98,
"Cecil Hills",0,4,1538,579,2122,
"Cecil Park",0,0,175,83,259,
"Cedar Brush Creek",0,0,25,24,50,
"Cedar Creek (Cessnock - NSW)",0,0,10,3,14,
"Cedar Creek (Tweed - NSW)",0,0,0,4,7,
"Cedar Party",0,0,94,61,158,
"Cedar Point",0,0,44,31,74,
"Cells River",0,0,0,0,0,
"Centennial Park (NSW)",14,4,453,789,1253,
"Central Colo",0,0,6,7,14,
"Central Macdonald",0,0,14,15,23,
"Central Mangrove",0,0,70,41,108,
"Central Tilba",0,0,75,69,143,
"Cessnock",10,13,2593,3497,6117,
"Chaelundi",0,0,0,0,0,
"Chain Valley Bay",0,3,592,543,1133,
"Chakola",0,0,11,12,24,
"Chambigne",0,0,8,16,27,
"Charbon",0,0,19,38,58,
"Charles Sturt University",0,0,0,3,3,
"Charlestown (NSW)",11,8,2924,2523,5464,
"Charleys Forest",0,0,11,21,32,
"Charlotte Bay",0,0,40,27,69,
"Charlton (NSW)",0,0,0,0,5,
"Charmhaven",0,5,479,543,1024,
"Chatham Valley",0,0,8,3,13,
"Chatsbury",0,0,26,10,32,
"Chatswood",28,32,5350,5193,10596,
"Chatswood West",0,0,381,173,554,
"Chatsworth (NSW)",0,0,35,32,68,
"Cheero Point",0,0,21,24,47,
"Cheltenham (NSW)",3,0,566,214,786,
"Cherry Tree Hill",0,0,17,14,34,
"Cherrybrook",4,4,4716,1768,6497,
"Chester Hill",3,3,2339,2170,4513,
"Chichester (NSW)",0,0,6,7,16,
"Chifley (NSW)",0,0,692,529,1229,
"Chilcotts Creek",0,0,0,0,0,
"Chilcotts Grass",0,0,56,32,87,
"Chillingham",0,0,53,50,102,
"Chinderah",0,0,300,668,964,
"Chinnock",0,0,6,0,12,
"Chippendale",77,29,991,3009,4106,
"Chipping Norton",0,4,2037,1185,3238,
"Chisholm (NSW)",0,3,411,86,502,
"Chiswick",6,9,643,719,1376,
"Chittaway Bay",0,0,435,351,785,
"Chittaway Point",0,4,223,140,363,
"Chowan Creek",0,0,8,11,17,
"Chullora",0,0,0,0,0,
"Church Point",0,0,287,110,400,
"Clandulla",0,0,31,43,80,
"Clare (NSW)",0,0,7,0,7,
"Claremont Meadows",3,3,1079,539,1621,
"Clarence",0,0,49,39,85,
"Clarence Town",0,4,504,272,781,
"Clarendon (NSW)",0,0,26,21,47,
"Clarenza",0,0,132,77,212,
"Clareville",0,0,213,95,310,
"Claymore",0,0,199,667,869,
"Clear Creek",0,0,34,12,51,
"Clear Range",0,0,8,5,11,
"Clearfield",0,0,3,3,4,
"Clemton Park",0,4,344,238,580,
"Clergate",0,0,55,14,73,
"Cleveland (NSW)",0,0,3,5,13,
"Clifden",0,0,6,9,11,
"Cliftleigh",0,0,136,152,289,
"Clifton (NSW)",0,0,3,9,14,
"Clifton Grove",0,4,230,69,301,
"Clontarf (NSW)",0,0,437,159,594,
"Clothiers Creek",0,0,65,47,112,
"Clouds Creek",0,0,0,0,0,
"Clovelly",8,18,1111,879,2018,
"Clunes (NSW)",0,6,207,147,362,
"Clybucca",0,0,33,34,67,
"Clyde (NSW)",0,0,0,0,0,
"Clydesdale (NSW)",0,0,24,5,30,
"Coal Point",0,0,462,226,693,
"Coalcliff",0,0,50,24,73,
"Coaldale",0,0,12,13,28,
"Coasters Retreat",0,0,5,13,19,
"Cobaki",0,0,49,20,77,
"Cobaki Lakes",0,0,8,4,15,
"Cobar",0,3,793,991,1788,
"Cobar Park",0,0,5,10,19,
"Cobargo",0,3,169,184,355,
"Cobark",0,0,11,5,19,
"Cobbadah",0,0,27,9,35,
"Cobbitty",4,0,521,229,748,
"Cobramunga",0,0,4,3,11,
"Cockwhy",0,0,5,0,8,
"Codrington (NSW)",0,0,20,6,24,
"Coffee Camp",4,0,45,47,92,
"Coffs Harbour",19,31,4752,6781,11582,
"Coggan",0,0,0,5,5,
"Cogra Bay",0,0,0,9,7,
"Coila",0,0,10,20,29,
"Coldstream (NSW)",0,0,10,10,17,
"Coleambally",0,0,276,264,542,
"Colebee",0,0,487,138,629,
"Coledale",0,6,306,151,461,
"Colinroobie",0,0,16,9,17,
"Colinton (NSW)",0,0,32,12,44,
"Collarenebri",0,0,109,181,289,
"Collaroy (NSW)",8,10,1828,1358,3203,
"Collaroy Plateau",0,0,1092,508,1599,
"Collector",0,0,76,36,113,
"Collendina",0,0,26,15,47,
"Collerina",0,0,13,5,22,
"Collie (NSW)",0,0,51,32,76,
"Collingullie",0,0,41,43,90,
"Collingwood (NSW)",0,0,14,6,22,
"Collins Creek",0,0,33,28,59,
"Collombatti",0,0,126,139,267,
"Collum Collum",0,0,0,0,0,
"Colly Blue",0,0,9,14,17,
"Colo (Bathurst Regional - NSW)",0,0,0,8,8,
"Colo (Hawkesbury - NSW)",0,0,12,11,22,
"Colo Heights",0,0,59,62,119,
"Colo Vale",0,0,367,250,619,
"Colongra",0,0,0,0,0,
"Colyton",6,9,1649,1491,3159,
"Comara",0,0,5,7,12,
"Combaning",0,0,23,10,32,
"Combara",0,0,11,15,30,
"Comberton",0,0,3,3,13,
"Comboyne",0,0,106,100,203,
"Come By Chance",0,0,28,25,58,
"Comerong Island",0,0,0,5,6,
"Commissioners Creek",0,0,8,19,27,
"Como (NSW)",0,0,975,405,1381,
"Comobella",0,0,10,11,22,
"Conargo",0,0,27,34,64,
"Concord",6,17,3336,2046,5409,
"Concord West",0,4,1332,812,2158,
"Condell Park",5,0,2323,1556,3881,
"Condobolin",5,0,676,798,1482,
"Condong",0,0,68,53,127,
"Coneac",0,0,3,7,8,
"Congarinni",0,0,91,30,122,
"Congarinni North",0,0,91,58,142,
"Congewai",0,0,44,31,82,
"Congo",0,0,41,66,110,
"Conimbia",0,0,3,0,3,
"Coniston",4,3,418,521,948,
"Conjola",0,0,36,16,56,
"Conjola Park",0,0,72,86,159,
"Connells Point",0,0,687,346,1038,
"Constitution Hill",0,0,796,718,1517,
"Coogee (NSW)",34,36,3029,3946,7041,
"Cookamidgera",0,0,28,39,71,
"Cookardinia",0,0,20,10,30,
"Cooks Gap",0,0,109,114,219,
"Cooks Hill",5,9,624,1142,1782,
"Cooks Myalls",0,0,12,9,21,
"Coolabah",0,0,12,13,31,
"Coolac",0,0,43,42,84,
"Coolagolite",0,0,77,46,125,
"Coolah",0,0,282,261,544,
"Coolamon",0,4,473,368,847,
"Coolangatta (NSW)",0,0,83,35,113,
"Coolangubra",0,0,0,0,0,
"Coolatai",0,0,28,31,57,
"Cooleman",0,0,0,0,0,
"Cooleys Creek",0,0,3,0,4,
"Coolgardie (NSW)",0,0,31,19,54,
"Coolongolook",0,0,79,89,170,
"Coolringdon",0,0,24,11,32,
"Coolumbooka",0,0,0,0,0,
"Coolumburra",0,0,0,0,0,
"Cooma (NSW)",8,6,1310,1688,3010,
"Coomba Bay",0,0,32,30,58,
"Coomba Park",0,0,136,181,313,
"Coombadjha",0,0,3,3,8,
"Coombell",0,0,0,11,10,
"Coomealla",0,0,164,162,329,
"Coomoo Coomoo",0,0,0,0,8,
"Coonabarabran",0,5,641,856,1501,
"Coonamble",0,0,440,799,1242,
"Coongbar",0,0,0,0,0,
"Cooperabung",0,0,71,38,117,
"Coopernook",0,0,110,129,234,
"Coopers Gully",0,0,44,29,70,
"Coopers Shoot",3,0,62,61,130,
"Cooplacurripa",0,0,3,5,8,
"Coorabell",0,0,92,95,192,
"Cooranbong",0,3,1204,911,2123,
"Cootamundra",4,0,1523,1511,3035,
"Cootralantra",0,0,23,16,38,
"Cooyal",0,0,29,19,47,
"Copacabana",3,0,614,431,1049,
"Cope",0,0,22,25,49,
"Copeland",0,0,16,18,33,
"Copeton",0,0,6,17,27,
"Copmanhurst",0,0,58,85,145,
"Coppabella (NSW)",0,0,3,0,3,
"Copperhannia",0,0,0,6,4,
"Coraki",0,0,228,305,531,
"Coralville",0,0,30,24,60,
"Coramba",0,0,179,156,341,
"Corang",0,0,0,0,0,
"Corangula",0,0,4,5,9,
"Corbie Hill",0,0,53,43,98,
"Cordeaux",0,0,0,0,0,
"Cordeaux Heights",0,0,1178,353,1532,
"Coree",0,0,8,3,11,
"Coreen",0,0,30,11,39,
"Corindi Beach",0,3,369,330,707,
"Corinella (NSW)",0,0,17,5,26,
"Corlette",0,6,1376,802,2183,
"Corndale (NSW)",0,0,84,51,138,
"Corney Town",0,0,14,27,40,
"Cornwallis",0,0,11,9,18,
"Corobimilla",0,0,20,8,25,
"Corowa",4,0,1223,1259,2482,
"Corrabare",0,0,3,5,6,
"Corrimal",3,12,1391,1447,2858,
"Corrong",0,0,0,4,6,
"Corrowong",0,0,3,0,5,
"Corunna",0,0,18,21,30,
"Cottage Point",0,0,26,22,44,
"Cottonvale (NSW)",0,0,11,5,12,
"Cougal",0,0,4,13,17,
"Countegany",0,0,7,6,15,
"Courabyra",0,0,24,11,40,
"Couradda",0,0,7,7,19,
"Couragago",0,0,0,3,5,
"Couridjah",0,0,71,41,108,
"Coutts Crossing",0,0,232,199,425,
"Cow Flat",0,0,14,13,25,
"Cowabbie",0,0,4,0,7,
"Cowan",0,0,154,75,227,
"Cowper",0,0,18,17,33,
"Cowra",4,10,2095,2378,4490,
"Coxs Creek",0,0,9,8,22,
"Coxs Crown",0,0,4,3,4,
"Crabbes Creek",0,0,57,75,138,
"Crackenback",0,0,33,79,113,
"Craigie (NSW)",0,0,10,3,12,
"Cranebrook",7,15,3375,2339,5735,
"Crangan Bay",0,0,0,0,0,
"Craven",0,0,34,20,55,
"Craven Plateau",0,0,4,0,4,
"Crawford River",0,0,15,8,18,
"Crawney",0,0,11,6,15,
"Creewah",0,0,10,10,14,
"Cremorne (NSW)",35,26,2519,2901,5487,
"Cremorne Point",3,6,564,631,1202,
"Crescent Head",0,0,318,440,762,
"Crestwood",7,3,899,1365,2270,
"Cringila",0,0,389,431,815,
"Croki",0,0,18,11,23,
"Cromer (NSW)",0,16,1767,1099,2879,
"Cronulla",18,25,3952,4759,8748,
"Crooble",0,0,16,4,16,
"Croobyar",0,0,35,25,61,
"Crooked Corner",0,0,10,21,28,
"Crookwell",0,3,606,565,1173,
"Croom",0,0,26,15,41,
"Croppa Creek",0,0,30,20,43,
"Cross Roads (NSW)",0,0,6,0,6,
"Crosslands",0,0,141,69,211,
"Croudace Bay",0,0,130,65,200,
"Crowdy Bay National Park",0,0,0,10,10,
"Crowdy Head",0,0,21,13,39,
"Crows Nest (NSW)",18,8,1099,1243,2365,
"Crowther",0,0,19,17,30,
"Crowther Island",0,0,0,0,0,
"Croydon (NSW)",14,11,2245,1816,4091,
"Croydon Park (NSW)",6,18,2426,1891,4336,
"Crudine",0,0,12,13,25,
"Cryon",0,0,10,4,13,
"Crystal Creek (NSW)",0,0,58,40,98,
"Cubba",0,0,7,9,15,
"Cudal",0,0,135,85,224,
"Cudgegong",0,0,11,8,20,
"Cudgel",0,0,13,3,16,
"Cudgen",0,0,190,152,334,
"Cudgera Creek",0,0,79,54,133,
"Cudmirrah",0,0,72,60,131,
"Culburra Beach",0,0,626,687,1319,
"Culcairn",0,0,308,287,593,
"Cullen Bullen",0,0,53,61,114,
"Cullenbone",0,0,7,5,16,
"Cullendore",0,0,6,5,10,
"Cullerin",0,0,15,3,16,
"Cullivel",0,0,7,3,3,
"Culmaran Creek",0,0,3,4,3,
"Cumbalum",0,4,381,151,539,
"Cumbandry",0,0,4,3,6,
"Cumberland Reach",0,0,47,32,74,
"Cumbo",0,0,0,0,4,
"Cumborah",0,0,38,121,161,
"Cumnock",0,0,113,83,196,
"Cundle Flat",0,0,3,0,3,
"Cundletown",0,3,447,385,838,
"Cundumbul",0,0,13,3,16,
"Cunjurong Point",0,0,18,29,46,
"Cunningar",0,0,44,19,66,
"Cunninyeuk",0,0,8,0,11,
"Curban",0,0,36,17,51,
"Curl Curl",0,0,534,331,864,
"Curlew Waters",0,0,3,9,6,
"Curlewis (NSW)",0,0,173,138,310,
"Curlwaa",0,0,96,71,167,
"Curra Creek",0,0,13,18,27,
"Currabubula",0,0,77,66,143,
"Curragh",0,0,0,0,0,
"Curramore (NSW)",0,0,45,19,63,
"Currans Hill",0,12,1129,726,1867,
"Currarong",0,0,99,111,209,
"Currawang",0,0,47,32,77,
"Currawarna",0,0,40,37,76,
"Curraweela",0,0,11,9,27,
"Curricabark",0,0,3,3,6,
"Currowan",0,0,19,3,23,
"Cuttabri",0,0,7,11,19,
"Cuttagee",0,0,17,11,22,
"Dabee",0,0,11,5,20,
"Daceyville",0,0,152,482,635,
"Dairy Arm",0,0,3,3,5,
"Dairy Flat",0,0,7,10,13,
"Dairymans Plains",0,0,44,18,68,
"Daleys Point",0,0,183,162,346,
"Dalgety",0,0,51,63,114,
"Dalmeny",0,7,429,416,852,
"Dalmorton",0,0,0,0,3,
"Dalswinton",0,0,10,4,17,
"Dalton",0,0,49,37,86,
"Dalwood (Ballina - NSW)",0,0,58,35,97,
"Dalwood (Singleton - NSW)",0,0,22,15,37,
"Dandaloo",0,0,8,5,13,
"Dandry",0,0,23,17,41,
"Dangar Island",0,4,63,70,138,
"Dangarsleigh",0,0,39,19,55,
"Dangelong",0,0,3,0,3,
"Dapto",5,4,2358,1983,4359,
"Darawank",0,0,94,69,169,
"Darbalara",0,0,8,9,18,
"Darbys Falls",0,0,60,51,109,
"Dareton",0,0,80,141,219,
"Dargan",0,0,22,22,45,
"Dark Corner",0,0,3,3,11,
"Darkes Forest",0,0,24,11,36,
"Darkwood",0,0,28,55,82,
"Darling Point",30,12,872,1322,2238,
"Darlinghurst",346,40,1581,4275,6243,
"Darlington (Singleton - NSW)",0,0,83,73,157,
"Darlington (Sydney - NSW)",28,17,287,1053,1386,
"Darlington Point",0,0,233,270,504,
"Darlow",0,0,8,9,16,
"Dartbrook",0,0,25,26,48,
"Daruka",0,0,211,65,274,
"Davidson",0,0,760,244,1013,
"Davis Creek",0,0,4,0,7,
"Davistown",0,3,578,504,1087,
"Dawes Point",4,0,90,71,166,
"Daysdale",0,0,26,22,44,
"Dean Park",0,0,668,446,1108,
"Deauville",0,0,11,6,12,
"Debenham",0,0,0,4,4,
"Dee Why",24,35,4718,5088,9863,
"Deep Creek (Clarence Valley - NSW)",0,0,0,0,5,
"Deep Creek (Kempsey - NSW)",0,0,25,14,41,
"Deep Creek (Kyogle - NSW)",0,0,6,3,14,
"Deepwater (NSW)",0,0,82,141,227,
"Deer Vale",0,0,33,35,62,
"Delegate",0,0,73,110,176,
"Delungra",0,0,143,122,269,
"Denham Court",0,0,484,177,661,
"Denhams Beach",0,0,117,106,224,
"Deniliquin",0,0,1587,1992,3579,
"Denistone",0,3,938,412,1359,
"Denistone East",0,0,524,281,805,
"Denistone West",0,4,230,100,337,
"Denman",5,0,382,405,792,
"Depot Beach",0,0,5,11,12,
"Derriwong",0,0,6,11,18,
"Deua",0,0,0,0,0,
"Deua River Valley",0,0,17,22,39,
"Devils Hole",0,0,9,7,15,
"Dewitt",0,0,3,4,7,
"Dharruk",3,0,513,465,982,
"Dhulura",0,0,15,5,14,
"Dhuragoon",0,0,7,0,13,
"Diamond Beach",0,3,217,160,385,
"Diamond Head",0,0,0,5,5,
"Diehard",0,0,4,20,26,
"Diggers Camp",0,0,4,10,11,
"Dignams Creek",0,0,21,15,38,
"Dilkoon",0,0,10,7,16,
"Dilpurra",0,0,6,3,7,
"Dingo Forest",0,0,0,0,0,
"Dinoga",0,0,12,10,28,
"Dirnaseer",0,0,19,10,35,
"Dirty Creek",0,0,14,21,35,
"Dobies Bight",0,0,33,26,59,
"Doctor George Mountain",0,0,12,14,26,
"Doctors Gap",0,0,9,8,11,
"Dog Rocks",0,0,0,3,3,
"Dolans Bay",0,0,162,53,212,
"Dolls Point",0,0,337,484,823,
"Dollys Flat",0,0,15,15,25,
"Dolphin Point",0,0,38,54,92,
"Dombarton",0,0,41,9,50,
"Donald Creek",0,0,7,6,11,
"Dondingalong",0,3,170,127,301,
"Doon Doon",0,0,18,27,46,
"Doonbah",0,0,60,51,107,
"Doonside",4,3,2522,2454,4989,
"Dooralong",0,0,73,37,109,
"Dora Creek",0,0,382,368,754,
"Dorrigo",0,0,256,312,570,
"Dorrigo Mountain",0,0,23,22,51,
"Dorroughby",0,0,34,34,64,
"Double Bay",21,0,935,1355,2311,
"Doubtful Creek",0,0,38,26,60,
"Douglas Park",0,0,325,167,500,
"Dover Heights",0,3,919,517,1440,
"Downside",0,0,36,16,46,
"Doyalson",0,0,64,64,126,
"Doyalson North",0,0,91,130,221,
"Doyles Creek",0,0,15,4,22,
"Doyles River",0,0,0,0,0,
"Drake",0,0,57,128,187,
"Drildool",0,0,5,7,7,
"Dripstone",0,0,17,10,29,
"Drummoyne",19,15,2599,2662,5298,
"Dry Creek (NSW)",0,0,8,6,16,
"Dry Plain",0,0,12,8,21,
"Dubbo",10,26,7815,8234,16087,
"Duck Creek",0,0,12,13,28,
"Duckenfield",0,0,30,12,40,
"Duckmaloi",0,0,10,9,21,
"Dudley",0,0,582,323,910,
"Duffys Forest",0,0,118,42,164,
"Dulguigan",0,0,29,28,57,
"Dulwich Hill",67,83,2622,3444,6224,
"Dum Dum",0,0,33,21,53,
"Dumaresq",0,0,20,19,33,
"Dumaresq Island",0,0,18,12,24,
"Dumaresq Valley",0,0,9,6,15,
"Dumbudgery",0,0,0,0,0,
"Dunbible",0,0,86,58,150,
"Dunbogan",0,0,265,238,502,
"Duncans Creek",0,0,16,9,20,
"Dundas (NSW)",4,4,999,693,1698,
"Dundas Valley",3,8,1163,968,2138,
"Dundee",0,0,43,24,67,
"Dundurrabin",0,0,7,38,50,
"Dunedoo",0,0,249,324,569,
"Dungarubba",0,0,12,9,18,
"Dungay",0,0,52,31,83,
"Dungeree",0,0,0,0,0,
"Dungog",0,0,403,512,919,
"Dungowan",0,0,97,52,151,
"Dunkeld (NSW)",0,0,8,12,16,
"Dunmore (NSW)",0,0,51,25,82,
"Dunolly (NSW)",0,0,22,20,47,
"Dunoon",0,4,138,144,291,
"Duns Creek",0,0,140,53,200,
"Dunville Loop",0,0,4,3,7,
"Dural (Hornsby - NSW)",0,5,1752,942,2698,
"Dural (Singleton - NSW)",0,0,0,0,0,
"Duramana",0,0,56,25,85,
"Duranbah",0,0,54,48,98,
"Duri",0,0,131,81,214,
"Duroby",0,0,14,14,34,
"Durran Durra",0,0,27,15,40,
"Durras North",0,0,11,15,21,
"Durren Durren",0,0,24,9,29,
"Duval",0,0,0,0,0,
"Dyers Crossing",0,3,78,74,157,
"Dyraaba",0,0,19,23,42,
"Dyrring",0,0,19,12,35,
"Eagle Vale",0,5,1217,847,2074,
"Eagleton",0,0,56,29,81,
"Earlwood",45,47,3904,2654,6645,
"East Albury",8,8,1256,1447,2719,
"East Ballina",3,6,1330,1258,2595,
"East Branxton",0,6,382,321,709,
"East Coraki",0,0,53,38,88,
"East Corrimal",0,5,694,825,1522,
"East Gosford",3,6,824,1252,2092,
"East Gresford",0,0,68,62,123,
"East Hills",0,7,682,571,1253,
"East Jindabyne",0,0,157,169,333,
"East Kangaloon",0,0,23,16,37,
"East Kempsey",0,4,234,351,591,
"East Killara",3,0,736,313,1054,
"East Kurrajong",0,4,520,219,743,
"East Lindfield",0,3,887,414,1304,
"East Lismore",0,11,791,1406,2203,
"East Lynne",0,0,19,30,50,
"East Maitland",4,12,2437,2687,5152,
"East Ryde",0,0,610,265,882,
"East Seaham",0,0,80,61,140,
"East Tamworth",5,10,1115,1212,2345,
"East Wagga Wagga",0,0,45,62,106,
"East Wardell",0,0,65,56,120,
"Eastern Creek",0,0,163,128,296,
"Eastgardens",0,0,189,156,340,
"Eastlakes",8,4,1349,1602,2966,
"Eastwood (NSW)",8,10,3970,3149,7130,
"Eatonsville",0,0,53,36,88,
"Ebenezer (NSW)",0,0,237,119,355,
"Ebor",0,0,39,47,79,
"Eccleston",0,0,9,13,17,
"Edderton",0,0,0,0,0,
"Eden",0,0,625,830,1457,
