Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SSC (UR) by OCCP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"OCCP - 1 Digit Level","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"Berrambool",21,15,41,36,20,21,7,22,0,0,269,458,
"Berrara",18,15,24,21,16,9,3,17,0,0,182,300,
"Berremangra",20,9,0,5,0,0,0,6,0,0,41,84,
"Berrico",0,4,0,0,0,0,0,0,0,0,23,33,
"Berridale",88,72,94,78,64,51,39,73,5,9,617,1193,
"Berrigal",13,0,0,0,0,0,0,0,0,0,15,33,
"Berrigan",118,53,59,47,47,34,54,65,7,4,771,1263,
"Berrilee",15,25,18,5,17,13,8,13,0,0,113,227,
"Berrima",63,75,47,17,39,24,12,34,3,0,360,672,
"Berringer Lake",3,0,3,0,0,0,0,0,0,0,21,28,
"Berry",186,251,141,91,112,92,36,68,11,8,1669,2666,
"Berry Jerry",21,3,6,0,3,3,0,0,0,0,37,77,
"Berry Mountain",0,0,0,0,3,0,0,0,0,0,21,23,
"Berry Park",15,16,17,0,10,3,3,0,0,0,69,127,
"Berthong",7,3,6,0,0,6,0,3,0,0,20,45,
"Beryl",4,5,13,4,3,3,5,7,0,0,88,130,
"Bethungra",36,8,11,3,4,0,0,8,0,0,88,162,
"Bevendale",3,0,4,5,0,0,0,6,0,0,27,43,
"Beverley Park",166,282,156,99,186,118,50,57,9,7,1263,2397,
"Beverly Hills",495,1117,531,468,754,429,297,348,53,58,5602,10154,
"Bewong",8,9,0,3,3,4,4,3,0,0,46,78,
"Bexhill",29,51,28,44,27,27,12,26,0,6,248,497,
"Bexley",950,1838,1102,864,1345,850,641,794,102,77,11178,19729,
"Bexley North",239,477,208,139,318,148,92,129,24,17,2300,4093,
"Biala",26,3,3,0,0,0,0,7,0,0,24,57,
"Bibbenluke",12,3,5,0,4,0,3,5,0,0,51,86,
"Biddon",31,4,4,0,0,0,3,4,0,0,48,97,
"Bidgeemia",11,6,0,0,0,0,0,0,0,0,7,30,
"Bidwill (NSW)",42,68,103,126,123,82,188,191,13,28,3316,4280,
"Bielsdown Hills",20,8,7,3,4,0,3,4,0,0,50,104,
"Big Hill (NSW)",11,3,4,9,0,0,0,4,0,0,19,48,
"Big Jacks Creek",8,3,0,6,0,0,8,0,0,0,27,53,
"Big Ridge",0,0,0,0,0,0,3,0,0,0,0,11,
"Big Springs",19,15,4,5,9,4,0,5,0,0,56,119,
"Bigga",48,8,12,0,8,5,3,6,0,0,152,243,
"Bilambil",17,23,38,23,27,21,11,18,0,0,233,418,
"Bilambil Heights",129,285,278,206,178,162,97,154,9,7,1858,3365,
"Bilbul",56,21,40,20,49,34,17,43,4,0,266,556,
"Bilgola Beach",36,33,5,5,18,11,0,3,5,0,125,244,
"Bilgola Plateau",361,554,201,160,238,153,41,60,18,10,1723,3516,
"Billeroy",15,0,0,0,0,0,0,0,0,0,19,42,
"Billilingra",8,0,0,0,0,0,0,0,0,0,6,9,
"Billimari",25,9,5,5,4,0,3,6,0,0,91,152,
"Billinudgel",13,12,18,11,10,3,0,17,0,0,118,215,
"Billys Creek",3,0,6,0,3,0,0,3,0,0,35,56,
"Billywillinga",7,23,14,10,10,11,10,4,0,0,114,194,
"Bilpin",56,45,77,24,28,22,23,30,7,0,348,666,
"Bimberi",0,0,0,0,0,0,0,0,0,0,0,0,
"Bimbi",17,4,0,0,4,3,3,7,0,0,80,116,
"Bimbimbie",4,6,8,6,4,7,8,3,0,0,70,120,
"Binalong",53,36,33,19,19,14,17,34,3,0,307,543,
"Binda",41,9,12,3,3,6,6,19,0,3,170,281,
"Bindera",10,0,0,0,4,0,0,3,0,0,17,30,
"Bingara",75,62,56,57,49,27,44,69,0,0,984,1427,
"Bingeebeebra Creek",5,0,0,4,0,0,0,3,0,0,21,34,
"Bingie",3,18,12,7,9,11,5,9,0,0,124,199,
"Bingleburra",4,5,0,0,0,0,0,0,0,0,13,26,
"Biniguy",29,10,5,3,6,3,0,9,0,0,84,148,
"Binjura",24,30,20,9,27,10,9,12,0,0,177,322,
"Binna Burra (NSW)",18,21,14,14,9,3,0,5,0,0,138,218,
"Binnaway",48,17,18,13,13,5,13,27,0,0,451,605,
"Binya",35,15,0,0,6,5,7,5,0,5,67,140,
"Birchgrove",460,787,71,78,180,98,10,25,26,6,1562,3302,
