Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SSC (UR) by LANP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"LANP - 1 Digit Level","Northern European Languages","Southern European Languages","Eastern European Languages","Southwest and Central Asian Languages","Southern Asian Languages","Southeast Asian Languages","Eastern Asian Languages","Australian Indigenous Languages","Other Languages","Supplementary codes","Not stated","Total",
"Barry (Blayney - NSW)",152,7,0,0,0,0,0,0,0,0,9,167,
"Barry (Upper Hunter Shire - NSW)",4,0,0,0,0,0,0,0,0,0,3,4,
"Barwang",75,0,0,0,0,0,0,0,0,0,5,83,
"Barwon",31,0,0,0,0,0,0,0,0,0,0,31,
"Baryulgil",66,0,0,0,0,0,0,8,0,0,16,92,
"Basin View",1393,13,7,4,0,0,0,0,0,6,126,1552,
"Bass Hill",3443,553,303,2697,150,986,306,0,218,43,369,9067,
"Bassendean (NSW)",0,0,0,0,0,0,0,0,0,0,0,0,
"Batar Creek",62,0,0,0,0,0,0,0,0,0,19,81,
"Bateau Bay",11096,126,46,13,9,39,47,0,38,14,717,12149,
"Batehaven",1586,18,34,0,4,24,5,0,0,0,105,1780,
"Batemans Bay",1298,10,10,10,10,10,14,3,0,3,172,1530,
"Bathampton",32,4,0,0,0,0,0,0,0,0,0,37,
"Bathurst",5773,65,18,49,161,90,91,8,40,13,625,6930,
"Batlow",1089,9,19,4,8,7,50,0,3,0,118,1312,
"Baulkham Hills",23177,1126,638,1363,3077,770,5752,0,128,108,905,37053,
"Baw Baw (NSW)",227,4,0,0,0,0,0,0,0,0,26,258,
"Bawley Point",650,4,0,0,0,0,3,0,0,0,44,700,
"Baxters Ridge",0,0,0,0,0,0,0,0,0,0,0,0,
"Bayview (NSW)",3241,55,32,9,3,5,41,0,5,8,214,3620,
"Beacon Hill",5797,466,128,79,61,133,448,0,56,18,271,7456,
"Beaconsfield (NSW)",669,57,21,16,15,69,84,0,0,0,66,991,
